"det_id15","strasse","richtung","position","spur","lon_wgs84","lat_wgs84"
"100101010029469","Tempelhofer Damm","Süd","zwischen Wolffring und Paradestraße, in Höhe Haus Nr. 32-34, Ecke Wolffring","HF_R","13.385779","52.480073"
"100101010029570","Tempelhofer Damm","Süd","zwischen Wolffring und Paradestraße, in Höhe Haus Nr. 32-34, Ecke Wolffring","HF_2vR","13.385779","52.480073"
"100101010079484","Tempelhofer Damm","Nord","zwischen Peter-Strasser-Weg und Paradestraße, LM132","HF_R","13.385874","52.476822"
"100101010079585","Tempelhofer Damm","Nord","zwischen Peter-Strasser-Weg und Paradestraße, LM132","HF_2vR","13.385874","52.476822"
"100101010097268","Tempelhofer Damm","Süd","zwischen A100 und Alt-Tempelhof","HF_R","13.385382","52.468100"
"100101010097369","Tempelhofer Damm","Süd","zwischen A100 und Alt-Tempelhof","HF_2vR","13.385382","52.468100"
"100101010097470","Tempelhofer Damm","Nord","zwischen Alt-Tempelhof und A100","HF_R","13.385776","52.467462"
"100101010097571","Tempelhofer Damm","Nord","zwischen Alt-Tempelhof und A100","HF_2vR","13.385776","52.467462"
"100101010097672","Tempelhofer Damm","Süd","zwischen Friedrich-Wilhelm-Straße und Burgemeisterstraße","HF_R","13.383970","52.457794"
"100101010097773","Tempelhofer Damm","Süd","zwischen Friedrich-Wilhelm-Straße und Burgemeisterstraße","HF_2vR","13.383970","52.457794"
"100101010097874","Tempelhofer Damm","Nord","zwischen Burgemeisterstraße und Friedrich-Wilhelm-Straße","HF_R","13.384196","52.457440"
"100101010097975","Tempelhofer Damm","Nord","zwischen Burgemeisterstraße und Friedrich-Wilhelm-Straße","HF_2vR","13.384196","52.457440"
"100101010023207","Tempelhofer Ufer","Ost","zwischen Großbeerenstraße und Ruhlsdorfer Straße, in Höhe Haus Nr. 10","HF_R","13.386210","52.498262"
"100101010023308","Tempelhofer Ufer","Ost","zwischen Großbeerenstraße und Ruhlsdorfer Straße, in Höhe Haus Nr. 10","HF_2vR","13.386210","52.498262"
"100101010061296","Tiergartenstraße","Ost","zwischen H.-v.-Karajan-Straße und Kemperplatz","HF_R","13.368880","52.510722"
"100101010030479","Torstraße","West","zwischen Tucholskystraße und Borsigstraße, letzter LM vor Borsigstraße, in Höhe Haus Nr. 199","HF_R","13.391576","52.528099"
"100101010030580","Torstraße","West","zwischen Tucholskystraße und Borsigstraße, letzter LM vor Borsigstraße, in Höhe Haus Nr. 199","HF_2vR","13.391576","52.528099"
"100101010030681","Torstraße","Ost","zwischen Kleine Hamburger Straße und Bergstraße, erster LM nach Kleine Hamburger Straße, in Höhe Haus Nr. 178","HF_R","13.394072","52.528565"
